Timestamp,Q1,Q2,Q3,Q4,X,Y,Z,Pitch,Tau1,Tau2,Tau3,Tau4,TotalPower,PlcStatus,LatencyMs
2026-08-24 14:22:18.786,0.00,45.00,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:18.285,0.00,45.00,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:17.775,0.00,45.00,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:17.265,0.00,45.00,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:16.755,0.00,45.00,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:16.250,0.00,45.00,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:15.740,0.00,45.00,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:15.230,0.00,45.00,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:14.719,0.00,45.00,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:14.208,0.00,45.00,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:13.696,0.00,45.00,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:13.186,0.00,45.00,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:12.676,0.00,45.00,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:12.166,0.00,45.00,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
